Vehicle2Name	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	v_X	v_Y	v_Z	av_X	av_Y	av_Z	a_X	a_Y	a_Z	aa_X	aa_Y	aa_Z	thrust0	torque0	speed0	thrust1	torque1	speed1	thrust2	torque2	speed2	thrust3	torque3	speed3	ImageImageFile	ctes	Theta_e
SimpleFlight	0.0	0.0265329	3.88173	-30.4351	0.989302	-0.13886400000000002	-0.039935000000000005	-0.0200667	0.0454166	-0.15365299999999998	0.0808286	-2.09654	-0.477117	-0.643201	0.763249	-2.85122	-0.325513	18.9125	2.40777	-4.80756	0.9436370000000001	-0.0125449	318.29200000000003	1.1255	-0.0149625	347.61199999999997	4.16075	0.05531369999999999	668.3580000000001	3.6377099999999998	0.0483603	624.938	img_SimpleFlight__0_1627900383897000500.png	3.8718456692129326	1.2048605987422263
SimpleFlight	0.081	0.0331215	3.85785	-30.4303	0.976607	-0.199762	-0.05885419999999999	-0.0535664	0.121405	-0.45857	0.0325906	-1.1094899999999999	-0.295695	-1.00912	1.0632	-4.49054	-0.639695	14.2849	1.71632	-4.13707	1.37733	-0.0183104	384.54	1.63861	-0.021783900000000002	419.431	4.17945	0.0555622	669.857	3.8562199999999995	0.05126519999999999	643.434	img_SimpleFlight__0_1627900383985265700.png	3.8485562188814977	1.2334472584434637
SimpleFlight	0.207	0.0577351	3.76004	-30.4334	0.962258	-0.22359	-0.0860319	-0.129097	0.27572399999999997	-1.1202	-0.0989597	-0.0380454	-0.111651	-1.47066	1.37091	-5.76049	-1.47996	4.54484	1.22223	-3.18825	2.3548400000000003	-0.031305599999999996	502.81	2.42775	-0.0322749	510.535	4.17945	0.0555622	669.857	4.0539	0.053893100000000006	659.72	img_SimpleFlight__0_1627900384113301900.png	3.7529788952676677	1.250915782018188
SimpleFlight	0.288	0.0847578	3.6500800000000004	-30.4469	0.9527190000000001	-0.21353200000000003	-0.103452	-0.18981199999999998	0.39389	-1.59751	-0.242637	0.23030100000000003	-0.018256599999999998	-1.7049299999999998	1.5479100000000001	-5.96784	-2.06637	1.84627	1.5641200000000002	-2.60377	2.4177400000000002	-0.0321418	509.481	2.46695	-0.0327961	514.64	4.17945	0.0555622	669.857	4.0574900000000005	0.0539409	660.012	img_SimpleFlight__0_1627900384197772000.png	3.645478041856498	1.2505134236685658
SimpleFlight	0.369	0.12195	3.5011099999999997	-30.474	0.939011	-0.19334400000000002	-0.120308	-0.257687	0.5270699999999999	-2.0798400000000004	-0.433541	0.371016	0.0609427	-1.89422	1.7447599999999999	-5.90114	-2.63469	0.8567030000000001	1.2349	-2.08058	2.78956	-0.0370848	547.256	2.7831900000000003	-0.0370002	546.632	4.17945	0.0555622	669.857	4.0986400000000005	0.0544879	663.35	img_SimpleFlight__0_1627900384284946800.png	3.4998853330304023	1.2440630022414045
SimpleFlight	0.45	0.170601	3.31355	-30.5182	0.918933	-0.166769	-0.136152	-0.330472	0.676344	-2.54477	-0.659725	0.341565	-0.00222512	-2.043	1.8794799999999998	-5.35839	-2.47857	-8.63574	-11.2104	-1.54645	3.0846400000000003	-0.0410076	575.4730000000001	3.06394	-0.0407324	573.539	4.17945	0.0555622	669.857	4.117030000000001	0.05473240000000001	664.836	img_SimpleFlight__0_1627900384371562800.png	3.3167206313816724	1.2324839265122058
SimpleFlight	0.531	0.231812	3.09017	-30.5797	0.8899360000000001	-0.14022	-0.155396	-0.405221	0.829767	-2.94393	-0.803313	0.451975	0.0637308	-2.15596	1.55945	-3.62586	0.944217	3.00146	0.8986780000000001	-0.228938	3.22835	-0.0429182	588.727	3.2918	-0.043761699999999994	594.4830000000001	4.1447400000000005	0.055100800000000005	667.071	4.02855	0.0535561	657.654	img_SimpleFlight__0_1627900384458130400.png	3.0988317970809636	1.2175267308790714
SimpleFlight	0.609	0.300873	2.8511599999999997	-30.6361	0.857564	-0.106706	-0.169521	-0.473772	0.9379940000000001	-3.16908	-0.614618	0.564211	0.223014	-1.9451599999999998	1.31282	-2.3977	3.2959300000000002	2.6657900000000003	2.02457	5.51548	2.62626	-0.0349139	530.997	2.6250400000000003	-0.0348976	530.873	2.15191	0.028607900000000002	480.657	1.98945	0.0264481	462.157	img_SimpleFlight__0_1627900384544388500.png	2.865977048755469	1.2044890429358999
SimpleFlight	0.69	0.38163600000000003	2.5865400000000003	-30.6762	0.827909	-0.0680457	-0.177431	-0.527688	1.06221	-3.3645400000000003	-0.390208	0.635383	0.384366	-1.37523	1.72655	-2.3365099999999996	2.4348	1.02573	2.0194400000000003	7.50161	3.7676800000000004	-0.050088099999999997	636.004	3.69695	-0.0491479	630.007	0.215592	0.00286611	152.138	0.125771	0.00167202	116.20200000000001	img_SimpleFlight__0_1627900384631239100.png	2.608509375851277	1.1864523195031715
SimpleFlight	0.765	0.46642100000000003	2.32797	-30.6988	0.8099770000000001	-0.0306	-0.179142	-0.557592	1.2023	-3.5257	-0.21256	0.7126399999999999	0.541076	-0.812358	2.01359	-1.94418	2.31002	0.918151	2.11501	7.5085	4.1794199999999995	-0.05556180000000001	669.855	4.07282	-0.0541447	661.258	0.028442500000000003	0.000378119	55.2595	0.0101626	0.000135103	33.0312	img_SimpleFlight__0_1627900384716468400.png	2.357388615299187	1.1636126750883085
